id,use_when,excludes
agent-asset-index-write.md,"Create or update INDEX.csv, INDEX.md, or an index table inside an existing Markdown asset","General Markdown editing, routing architecture design without index changes, or review-only index validation"
agent-skill-create.md,"Create one new agent skill or scaffold a new skill package","Target skill already exists, or the request is evaluation, naming, compression, or routing migration"
agent-skill-improve.md,"Edit or improve one existing agent skill and its resources","Creating a new skill, review-only evaluation, naming-only, compression-only, or consolidating multiple skills"
agent-skill-evaluate.md,"Evaluate or review one existing agent skill's effectiveness without modifying it","Field or structural validation, requested fixes, creation, naming-only, or compression-only work"
agent-skill-validate.md,"Validate one existing skill's required fields and basic file or route structure","Quality evaluation, requested fixes, creation, naming-only, or compression-only work"
agent-asset-naming.md,"Suggest, validate, or apply an agent asset name when naming is the primary task","Content or structure changes where naming is incidental"
agent-asset-optimize.md,"Optimize one or more agent assets (e.g. compress, structure, formatting) for model efficiency","Broad directory optimization without clear targets, or review-only checks"
agent-skill-routerize.md,"Consolidate multiple related existing skills into one routing skill or migrate a routing skill structure","Creating one new regular skill, renaming assets, or unrelated skill edits"
agent-asset-scriptify-evaluate.md,"Evaluate whether a workflow or asset can and should be scriptified","Generating the script or modifying the original asset directly"
agent-asset-scriptify-plan.md,"Create an implementation plan for scriptifying a workflow","Writing the actual code or evaluating feasibility from scratch"
agent-asset-scriptify-apply.md,"Execute an approved scriptification plan","Planning, evaluation, or arbitrary script generation without a plan"
